Metric,Value
design__max_fanout_violation__count__corner:min_tt_025C_1v80,222
design__max_cap_violation__count__corner:min_tt_025C_1v80,61
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.6203859823681036
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.5030811465362317
timing__hold__ws__corner:min_tt_025C_1v80,0.333816095325528
timing__setup__ws__corner:min_tt_025C_1v80,16.395445465343887
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.333816
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,22.826439
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,287
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,1019
design__max_fanout_violation__count__corner:min_ss_100C_1v60,222
design__max_cap_violation__count__corner:min_ss_100C_1v60,61
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.8532061965101471
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.6839642379390085
timing__hold__ws__corner:min_ss_100C_1v60,0.8247989191756505
timing__setup__ws__corner:min_ss_100C_1v60,13.827316571999797
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.824799
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,21.142073
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,287
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,222
design__max_cap_violation__count__corner:min_ff_n40C_1v95,61
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.5146896388100229
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.4189866072682529
timing__hold__ws__corner:min_ff_n40C_1v95,0.145813587553689
timing__setup__ws__corner:min_ff_n40C_1v95,17.45914040535798
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.145814
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,23.470213
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,287
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,396
design__max_fanout_violation__count__corner:max_tt_025C_1v80,222
design__max_cap_violation__count__corner:max_tt_025C_1v80,122
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.6940992421728441
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.5402580757902651
timing__hold__ws__corner:max_tt_025C_1v80,0.37359671969054975
timing__setup__ws__corner:max_tt_025C_1v80,16.029123371205632
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.373597
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,22.644337
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,287
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,1415
design__max_fanout_violation__count__corner:max_ss_100C_1v60,222
design__max_cap_violation__count__corner:max_ss_100C_1v60,125
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.952611572143571
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.7322418434410076
timing__hold__ws__corner:max_ss_100C_1v60,0.8958278816755353
timing__setup__ws__corner:max_ss_100C_1v60,13.246904392808464
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.897034
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,20.826288
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,287
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,13
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,222
design__max_cap_violation__count__corner:max_ff_n40C_1v95,122
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.5793219401503176
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.44934177095454425
timing__hold__ws__corner:max_ff_n40C_1v95,0.1507625178482234
timing__setup__ws__corner:max_ff_n40C_1v95,17.18024704461398
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.150763
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,23.345861
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,287
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,287
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79976
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000236146
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000287375
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000041945
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000287375
design_powergrid__voltage__worst,0.000287375
design_powergrid__voltage__worst__net:VPWR,1.79976
design_powergrid__drop__worst,0.000287375
design_powergrid__drop__worst__net:VPWR,0.000236146
design_powergrid__voltage__worst__net:VGND,0.000287375
design_powergrid__drop__worst__net:VGND,0.000287375
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000041400000000000001726461855422467550624787691049277782440185546875
ir__drop__worst,0.000235999999999999990167587338163457388873212039470672607421875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
